,18,1,15,14,0,12,9,16,6,5
18,0.9999968,0.07265685,0.12151816,0.13286124,0.10527264,0.054894913,-0.002087902,0.073962875,0.0841068,-0.116441235
1,0.07265685,1.0000126,0.16059388,0.1360526,0.12833904,0.07032074,0.18805188,0.09125882,0.11654083,0.058635686
15,0.12151816,0.16059388,1.0000144,0.09300913,0.12620185,0.028020876,0.07372435,-0.04204449,0.11455987,0.032584336
14,0.13286124,0.1360526,0.09300913,1.0000094,0.19764657,0.047031984,0.07121329,0.068890505,0.0854215,0.066993415
0,0.10527264,0.12833904,0.12620185,0.19764657,1.0000144,-0.0027467057,0.11328664,-0.003600748,0.057278305,0.0656502
12,0.054894913,0.07032074,0.028020876,0.047031984,-0.0027467057,1.0000135,0.1662978,0.23987672,0.134641,0.00069256494
9,-0.002087902,0.18805188,0.07372435,0.07121329,0.11328664,0.1662978,1.0000118,0.09196068,0.11831919,0.11212607
16,0.073962875,0.09125882,-0.04204449,0.068890505,-0.003600748,0.23987672,0.09196068,1.0000132,0.052773442,-0.065805525
6,0.0841068,0.11654083,0.11455987,0.0854215,0.057278305,0.134641,0.11831919,0.052773442,1.0000299,0.057710037
5,-0.116441235,0.058635686,0.032584336,0.066993415,0.0656502,0.00069256494,0.11212607,-0.065805525,0.057710037,1.0000111
