method,alpha,final_loss_mean,final_loss_std,final_acc_mean,final_acc_std,final_acc_worst
FedAvg,0.1,1.4838202113558532,0.13051236704591498,45.50666666666666,4.243161819000335,
FedAvg,0.5,1.067780072142364,0.017296650450173753,61.97,0.7167984374982955,
FedAvg,1.0,0.9715803974246775,0.026792798895349735,65.77999999999999,1.1768035803253942,
Clustered FedAvg (delayed),1.0,0.9703391565132545,0.026798778425249727,65.75999999999999,1.0824355254086324,
Personalized Clustered FL,1.0,1.9845999477715548,0.0,34.18057397990193,10.825599686434945,19.734904270986743
