client_id,cluster_id,test_loss,test_acc
0,1,3.0862474838892617,23.35958005249344
1,0,1.985595464706421,31.725888324873097
2,0,1.7158976197242737,42.47787610619469
3,0,1.7643711417913437,36.327345309381236
4,1,1.4627464148733351,53.15068493150685
5,1,1.7077081203460693,35.70504527813713
6,0,2.1706459124883017,26.13981762917933
7,0,1.9482761472463608,29.385964912280702
8,0,1.8073692917823792,35.922330097087375
9,0,2.2377156019210815,23.70689655172414
10,1,2.1957005394829645,27.208480565371026
11,1,2.623509019613266,29.64509394572025
12,1,1.6279980966023035,44.64692482915718
13,0,1.4556861519813538,58.2010582010582
14,1,1.5690157305110584,50.720461095100866
15,0,1.9643848896026612,27.814569536423843
16,0,1.821354369322459,31.733333333333334
17,1,2.473156043461391,35.308056872037916
18,0,1.9244577126069502,19.734904270986746
19,0,2.1501632034778595,20.697167755991284
