round,alpha,seed,selected_clients,cluster_map,global_test_loss,global_test_acc
1,1.0,0,"[12, 13, 1, 8, 15, 6, 19, 4, 7, 5]",{},2.1746904227384336,20.18
2,1.0,0,"[18, 6, 16, 4, 9, 2, 12, 1, 15, 17]",{},1.7456439148848224,36.15
3,1.0,0,"[17, 4, 9, 3, 2, 14, 13, 10, 5, 7]",{},1.5935555180166936,41.3
4,1.0,0,"[17, 3, 11, 13, 10, 9, 15, 18, 8, 7]",{},1.4097740354052015,49.34
5,1.0,0,"[14, 16, 8, 1, 0, 18, 11, 6, 13, 10]",{},1.3658855242334353,49.79
6,1.0,0,"[0, 15, 10, 7, 17, 11, 13, 1, 3, 9]","{0: [0, 15, 10, 7, 17, 11, 13, 1, 9], 1: [3]}",1.3326765276064538,51.0
7,1.0,0,"[7, 19, 4, 14, 2, 1, 5, 8, 18, 16]","{0: [7, 19, 4, 14, 2, 1, 5, 8, 18], 1: [16]}",1.3148243601914424,52.4
8,1.0,0,"[9, 17, 19, 3, 10, 13, 8, 16, 18, 14]","{1: [9, 17, 19, 3, 10, 13, 8, 18, 14], 0: [16]}",1.2402495886110196,55.01
9,1.0,0,"[18, 9, 14, 2, 12, 5, 19, 3, 4, 16]","{0: [18, 9, 14, 2, 12, 5, 19, 3, 4], 1: [16]}",1.2158975589806866,56.71
10,1.0,0,"[6, 5, 1, 8, 15, 17, 14, 10, 2, 11]","{0: [6, 5, 1, 8, 15, 17, 14, 2, 11], 1: [10]}",1.1664690990356883,58.43
11,1.0,0,"[1, 2, 17, 12, 8, 15, 16, 3, 13, 10]","{0: [1, 2, 17, 12, 8, 15, 3, 13, 10], 1: [16]}",1.128940383340143,59.89
12,1.0,0,"[18, 13, 8, 14, 15, 10, 16, 11, 5, 1]","{1: [18, 13, 8, 14, 15, 16, 11, 5, 1], 0: [10]}",1.1096702779933905,60.23
13,1.0,0,"[10, 3, 15, 19, 6, 18, 0, 11, 4, 1]","{0: [10], 1: [3, 15, 19, 6, 18, 0, 11, 4, 1]}",1.0816894701332043,61.89
14,1.0,0,"[7, 11, 5, 10, 13, 15, 0, 1, 2, 3]","{1: [7, 11, 5, 10, 13, 0, 1, 2, 3], 0: [15]}",1.0469496770269553,63.22
15,1.0,0,"[1, 18, 17, 2, 0, 19, 10, 3, 9, 11]","{0: [1, 18, 17, 2, 0, 19, 3, 9, 11], 1: [10]}",1.0453973906055378,63.29
16,1.0,0,"[3, 12, 2, 11, 19, 0, 9, 14, 15, 17]","{0: [3], 1: [12, 2, 11, 19, 0, 9, 14, 15, 17]}",1.0110219914442415,64.45
17,1.0,0,"[3, 15, 6, 1, 0, 8, 17, 9, 16, 4]","{0: [3, 6, 1, 0, 8, 17, 9, 16, 4], 1: [15]}",1.0283952750218142,64.15
18,1.0,0,"[2, 7, 19, 9, 11, 6, 17, 0, 8, 18]","{1: [2, 7, 19, 9, 6, 17, 0, 8, 18], 0: [11]}",1.0067543459546036,64.46
19,1.0,0,"[1, 3, 12, 6, 8, 5, 11, 7, 9, 2]","{0: [1, 12, 6, 8, 5, 11, 7, 9, 2], 1: [3]}",0.9872136829764979,65.13
20,1.0,0,"[6, 1, 5, 17, 10, 8, 4, 18, 9, 7]","{1: [6, 1, 5, 17, 8, 4, 18, 9, 7], 0: [10]}",0.9880798011069085,65.46
