round,alpha,seed,selected_clients,cluster_map,global_test_loss,global_test_acc
1,1.0,2,"[1, 2, 18, 11, 5, 16, 12, 10, 4, 14]",{},2.0723481071982413,25.81
2,1.0,2,"[19, 6, 1, 5, 13, 10, 18, 12, 11, 8]",{},1.689617081812233,37.0
3,1.0,2,"[11, 17, 14, 16, 8, 18, 0, 13, 5, 7]",{},1.4793420293528563,45.22
4,1.0,2,"[10, 12, 13, 16, 5, 8, 2, 3, 18, 0]",{},1.3526618579390701,52.13
5,1.0,2,"[5, 10, 19, 4, 11, 8, 18, 14, 2, 7]",{},1.3074719457869317,52.91
6,1.0,2,"[13, 16, 11, 17, 18, 19, 7, 2, 6, 14]","{1: [13, 16, 17, 7, 2], 0: [11, 18, 19, 6, 14]}",1.2578849185044598,54.82
7,1.0,2,"[16, 7, 15, 8, 17, 19, 14, 12, 5, 10]","{1: [16, 7, 15, 17, 19, 14, 12, 5, 10], 0: [8]}",1.19231407126044,57.89
8,1.0,2,"[14, 19, 11, 18, 15, 10, 3, 5, 17, 2]","{0: [14, 18, 10, 3, 5, 17, 2], 1: [19, 11, 15]}",1.2029941047832464,55.69
9,1.0,2,"[19, 8, 15, 9, 16, 12, 11, 18, 14, 13]","{0: [19, 15, 9, 16, 12, 11, 18, 14, 13], 1: [8]}",1.1360213547755198,59.48
10,1.0,2,"[16, 18, 13, 9, 6, 7, 8, 5, 10, 19]","{0: [16, 18, 13, 9, 6, 7, 5, 10, 19], 1: [8]}",1.1088792036293418,60.74
11,1.0,2,"[2, 10, 0, 6, 3, 17, 9, 18, 14, 4]","{1: [2, 10, 0, 6, 17, 9, 18, 14, 4], 0: [3]}",1.0935834285559927,60.54
12,1.0,2,"[18, 7, 3, 16, 4, 13, 15, 17, 12, 0]","{0: [18, 7, 3, 16, 4, 13, 15, 17, 0], 1: [12]}",1.054044827534135,62.78
13,1.0,2,"[13, 1, 18, 11, 16, 2, 3, 10, 0, 17]","{1: [13, 1, 18, 16, 2, 3, 10, 0, 17], 0: [11]}",1.0408576400416671,62.73
14,1.0,2,"[3, 2, 0, 1, 17, 5, 4, 18, 12, 11]","{0: [3, 2, 0, 1, 17, 5, 4, 18, 12], 1: [11]}",1.0251303060798889,63.13
15,1.0,2,"[16, 0, 12, 1, 7, 2, 18, 13, 5, 9]","{0: [16, 0, 1, 7, 2, 18, 13, 5, 9], 1: [12]}",1.0005541440028294,64.81
16,1.0,2,"[3, 9, 10, 15, 0, 4, 7, 8, 18, 16]","{0: [3, 9, 10, 15, 0, 4, 7, 18, 16], 1: [8]}",0.9876570496589515,64.36
17,1.0,2,"[8, 12, 4, 15, 7, 1, 10, 13, 5, 14]","{0: [8], 1: [12, 4, 15, 7, 1, 10, 13, 5, 14]}",0.9739123666362398,65.58
18,1.0,2,"[0, 14, 4, 16, 12, 7, 8, 5, 2, 15]","{0: [0, 14, 4, 16, 12, 7, 5, 2, 15], 1: [8]}",0.9646126354575917,65.97
19,1.0,2,"[8, 19, 13, 0, 4, 10, 16, 15, 17, 2]","{0: [8], 1: [19, 13, 0, 4, 10, 16, 15, 17, 2]}",0.9625314189370271,66.37
20,1.0,2,"[5, 19, 3, 14, 7, 8, 11, 0, 17, 13]","{1: [5, 19, 3, 14, 7, 11, 0, 17, 13], 0: [8]}",0.9324651459220109,67.21
