round,alpha,seed,num_clients,clients_per_round,local_epochs,selected_clients,client_sizes,global_test_loss,global_test_acc
1,0.1,1,20,10,1,"[4, 18, 2, 8, 3, 7, 12, 14, 13, 10]","[3843, 6657, 324, 4575, 1844, 640, 989, 293, 1806, 1302]",2.3247852826574045,20.68
2,0.1,1,20,10,1,"[12, 6, 3, 15, 0, 14, 13, 18, 19, 9]","[989, 4511, 1844, 727, 1291, 293, 1806, 6657, 1328, 2787]",2.17878068632381,27.24
3,0.1,1,20,10,1,"[0, 14, 8, 7, 3, 18, 5, 19, 12, 11]","[1291, 293, 4575, 640, 1844, 6657, 3162, 1328, 989, 4898]",2.190537080643283,22.7
4,0.1,1,20,10,1,"[17, 0, 12, 6, 13, 11, 18, 8, 3, 7]","[4505, 1291, 989, 4511, 1806, 4898, 6657, 4575, 1844, 640]",1.8231590644569153,37.64
5,0.1,1,20,10,1,"[15, 17, 7, 11, 18, 10, 3, 12, 19, 4]","[727, 4505, 640, 4898, 6657, 1302, 1844, 989, 1328, 3843]",1.9937917609123668,34.79
6,0.1,1,20,10,1,"[0, 13, 17, 3, 5, 10, 11, 4, 1, 15]","[1291, 1806, 4505, 1844, 3162, 1302, 4898, 3843, 4322, 727]",1.6911156974780333,38.57
7,0.1,1,20,10,1,"[16, 13, 19, 6, 9, 4, 15, 7, 8, 17]","[196, 1806, 1328, 4511, 2787, 3843, 727, 640, 4575, 4505]",1.9364309219797706,34.85
8,0.1,1,20,10,1,"[18, 1, 15, 7, 12, 6, 10, 2, 5, 8]","[6657, 4322, 727, 640, 989, 4511, 1302, 324, 3162, 4575]",2.0388343205117874,27.94
9,0.1,1,20,10,1,"[11, 2, 14, 16, 3, 12, 18, 8, 6, 5]","[4898, 324, 293, 196, 1844, 989, 6657, 4575, 4511, 3162]",1.565166078555356,42.8
10,0.1,1,20,10,1,"[15, 0, 19, 1, 9, 11, 13, 17, 12, 14]","[727, 1291, 1328, 4322, 2787, 4898, 1806, 4505, 989, 293]",1.6220103388379334,40.49
11,0.1,1,20,10,1,"[12, 5, 18, 16, 7, 0, 19, 3, 8, 11]","[989, 3162, 6657, 196, 640, 1291, 1328, 1844, 4575, 4898]",1.7710350713912089,37.88
12,0.1,1,20,10,1,"[7, 12, 16, 11, 17, 19, 4, 10, 8, 9]","[640, 989, 196, 4898, 4505, 1328, 3843, 1302, 4575, 2787]",1.7928121446803877,36.67
13,0.1,1,20,10,1,"[0, 12, 16, 4, 6, 15, 19, 7, 5, 9]","[1291, 989, 196, 3843, 4511, 727, 1328, 640, 3162, 2787]",1.8547116912853945,33.26
14,0.1,1,20,10,1,"[17, 6, 16, 13, 15, 19, 5, 18, 14, 0]","[4505, 4511, 196, 1806, 727, 1328, 3162, 6657, 293, 1291]",1.5974782895130717,41.45
15,0.1,1,20,10,1,"[17, 19, 10, 14, 0, 12, 3, 18, 2, 8]","[4505, 1328, 1302, 293, 1291, 989, 1844, 6657, 324, 4575]",1.7404322343267453,40.37
16,0.1,1,20,10,1,"[18, 5, 2, 8, 1, 13, 10, 15, 12, 0]","[6657, 3162, 324, 4575, 4322, 1806, 1302, 727, 989, 1291]",1.68746875653601,39.64
17,0.1,1,20,10,1,"[14, 0, 8, 7, 17, 1, 12, 9, 2, 5]","[293, 1291, 4575, 640, 4505, 4322, 989, 2787, 324, 3162]",1.6671969602062444,34.33
18,0.1,1,20,10,1,"[9, 2, 5, 17, 8, 15, 18, 10, 4, 12]","[2787, 324, 3162, 4505, 4575, 727, 6657, 1302, 3843, 989]",1.5752390941996484,44.73
19,0.1,1,20,10,1,"[9, 14, 10, 15, 16, 1, 0, 4, 6, 5]","[2787, 293, 1302, 727, 196, 4322, 1291, 3843, 4511, 3162]",1.780031044012422,38.5
20,0.1,1,20,10,1,"[13, 6, 8, 3, 17, 14, 11, 15, 16, 9]","[1806, 4511, 4575, 1844, 4505, 293, 4898, 727, 196, 2787]",1.643492312947656,40.47
