round,alpha,seed,num_clients,clients_per_round,local_epochs,selected_clients,client_sizes,global_test_loss,global_test_acc
1,1.0,0,20,10,1,"[12, 13, 1, 8, 15, 6, 19, 4, 7, 5]","[2979, 2135, 2252, 2389, 3874, 1752, 2144, 3620, 933, 2119]",2.1746904227384336,20.18
2,1.0,0,20,10,1,"[18, 6, 16, 4, 9, 2, 12, 1, 15, 17]","[1137, 1752, 3955, 3620, 1470, 1715, 2979, 2252, 3874, 2677]",1.7456439148848224,36.15
3,1.0,0,20,10,1,"[17, 4, 9, 3, 2, 14, 13, 10, 5, 7]","[2677, 3620, 1470, 3029, 1715, 2155, 2135, 3962, 2119, 933]",1.5935555180166936,41.3
4,1.0,0,20,10,1,"[17, 3, 11, 13, 10, 9, 15, 18, 8, 7]","[2677, 3029, 2947, 2135, 3962, 1470, 3874, 1137, 2389, 933]",1.4097740354052015,49.34
5,1.0,0,20,10,1,"[14, 16, 8, 1, 0, 18, 11, 6, 13, 10]","[2155, 3955, 2389, 2252, 2756, 1137, 2947, 1752, 2135, 3962]",1.3658855242334353,49.79
6,1.0,0,20,10,1,"[0, 15, 10, 7, 17, 11, 13, 1, 3, 9]","[2756, 3874, 3962, 933, 2677, 2947, 2135, 2252, 3029, 1470]",1.3326765306436332,51.0
7,1.0,0,20,10,1,"[7, 19, 4, 14, 2, 1, 5, 8, 18, 16]","[933, 2144, 3620, 2155, 1715, 2252, 2119, 2389, 1137, 3955]",1.3148518375530365,52.38
8,1.0,0,20,10,1,"[9, 17, 19, 3, 10, 13, 8, 16, 18, 14]","[1470, 2677, 2144, 3029, 3962, 2135, 2389, 3955, 1137, 2155]",1.240983515028741,55.09
9,1.0,0,20,10,1,"[18, 9, 14, 2, 12, 5, 19, 3, 4, 16]","[1137, 1470, 2155, 1715, 2979, 2119, 2144, 3029, 3620, 3955]",1.2155953292634076,56.67
10,1.0,0,20,10,1,"[6, 5, 1, 8, 15, 17, 14, 10, 2, 11]","[1752, 2119, 2252, 2389, 3874, 2677, 2155, 3962, 1715, 2947]",1.1639691147075337,58.38
11,1.0,0,20,10,1,"[1, 2, 17, 12, 8, 15, 16, 3, 13, 10]","[2252, 1715, 2677, 2979, 2389, 3874, 3955, 3029, 2135, 3962]",1.1294534198797432,59.91
12,1.0,0,20,10,1,"[18, 13, 8, 14, 15, 10, 16, 11, 5, 1]","[1137, 2135, 2389, 2155, 3874, 3962, 3955, 2947, 2119, 2252]",1.1106418397775881,60.27
13,1.0,0,20,10,1,"[10, 3, 15, 19, 6, 18, 0, 11, 4, 1]","[3962, 3029, 3874, 2144, 1752, 1137, 2756, 2947, 3620, 2252]",1.0809062149873965,61.91
14,1.0,0,20,10,1,"[7, 11, 5, 10, 13, 15, 0, 1, 2, 3]","[933, 2947, 2119, 3962, 2135, 3874, 2756, 2252, 1715, 3029]",1.0448180774974216,63.26
15,1.0,0,20,10,1,"[1, 18, 17, 2, 0, 19, 10, 3, 9, 11]","[2252, 1137, 2677, 1715, 2756, 2144, 3962, 3029, 1470, 2947]",1.0441494861226173,63.31
16,1.0,0,20,10,1,"[3, 12, 2, 11, 19, 0, 9, 14, 15, 17]","[3029, 2979, 1715, 2947, 2144, 2756, 1470, 2155, 3874, 2677]",1.0109260617547733,64.44
17,1.0,0,20,10,1,"[3, 15, 6, 1, 0, 8, 17, 9, 16, 4]","[3029, 3874, 1752, 2252, 2756, 2389, 2677, 1470, 3955, 3620]",1.028021078580504,64.18
18,1.0,0,20,10,1,"[2, 7, 19, 9, 11, 6, 17, 0, 8, 18]","[1715, 933, 2144, 1470, 2947, 1752, 2677, 2756, 2389, 1137]",1.0064901975309772,64.55
19,1.0,0,20,10,1,"[1, 3, 12, 6, 8, 5, 11, 7, 9, 2]","[2252, 3029, 2979, 1752, 2389, 2119, 2947, 933, 1470, 1715]",0.9863002581201541,65.23
20,1.0,0,20,10,1,"[6, 1, 5, 17, 10, 8, 4, 18, 9, 7]","[1752, 2252, 2119, 2677, 3962, 2389, 3620, 1137, 1470, 933]",0.9904961912495316,65.34
