round,alpha,seed,num_clients,clients_per_round,local_epochs,selected_clients,client_sizes,global_test_loss,global_test_acc
1,1.0,2,20,10,1,"[1, 2, 18, 11, 5, 16, 12, 10, 4, 14]","[1407, 2069, 1852, 3575, 1793, 3028, 3291, 2374, 1786, 2767]",2.0723481071982413,25.81
2,1.0,2,20,10,1,"[19, 6, 1, 5, 13, 10, 18, 12, 11, 8]","[2650, 1817, 1407, 1793, 2848, 2374, 1852, 3291, 3575, 4355]",1.689617081812233,37.0
3,1.0,2,20,10,1,"[11, 17, 14, 16, 8, 18, 0, 13, 5, 7]","[3575, 2551, 2767, 3028, 4355, 1852, 2382, 2848, 1793, 2061]",1.4793420293528563,45.22
4,1.0,2,20,10,1,"[10, 12, 13, 16, 5, 8, 2, 3, 18, 0]","[2374, 3291, 2848, 3028, 1793, 4355, 2069, 2984, 1852, 2382]",1.3526618579390701,52.13
5,1.0,2,20,10,1,"[5, 10, 19, 4, 11, 8, 18, 14, 2, 7]","[1793, 2374, 2650, 1786, 3575, 4355, 1852, 2767, 2069, 2061]",1.3074719457869317,52.91
6,1.0,2,20,10,1,"[13, 16, 11, 17, 18, 19, 7, 2, 6, 14]","[2848, 3028, 3575, 2551, 1852, 2650, 2061, 2069, 1817, 2767]",1.2578849093929219,54.82
7,1.0,2,20,10,1,"[16, 7, 15, 8, 17, 19, 14, 12, 5, 10]","[3028, 2061, 2655, 4355, 2551, 2650, 2767, 3291, 1793, 2374]",1.1926292708724926,57.85
8,1.0,2,20,10,1,"[14, 19, 11, 18, 15, 10, 3, 5, 17, 2]","[2767, 2650, 3575, 1852, 2655, 2374, 2984, 1793, 2551, 2069]",1.2036798516656184,55.61
9,1.0,2,20,10,1,"[19, 8, 15, 9, 16, 12, 11, 18, 14, 13]","[2650, 4355, 2655, 1755, 3028, 3291, 3575, 1852, 2767, 2848]",1.1354455636565093,59.58
10,1.0,2,20,10,1,"[16, 18, 13, 9, 6, 7, 8, 5, 10, 19]","[3028, 1852, 2848, 1755, 1817, 2061, 4355, 1793, 2374, 2650]",1.107610804639804,60.92
11,1.0,2,20,10,1,"[2, 10, 0, 6, 3, 17, 9, 18, 14, 4]","[2069, 2374, 2382, 1817, 2984, 2551, 1755, 1852, 2767, 1786]",1.0965495872649418,60.17
12,1.0,2,20,10,1,"[18, 7, 3, 16, 4, 13, 15, 17, 12, 0]","[1852, 2061, 2984, 3028, 1786, 2848, 2655, 2551, 3291, 2382]",1.051724502235461,63.05
13,1.0,2,20,10,1,"[13, 1, 18, 11, 16, 2, 3, 10, 0, 17]","[2848, 1407, 1852, 3575, 3028, 2069, 2984, 2374, 2382, 2551]",1.040521764451531,62.59
14,1.0,2,20,10,1,"[3, 2, 0, 1, 17, 5, 4, 18, 12, 11]","[2984, 2069, 2382, 1407, 2551, 1793, 1786, 1852, 3291, 3575]",1.0262180297238053,63.0
15,1.0,2,20,10,1,"[16, 0, 12, 1, 7, 2, 18, 13, 5, 9]","[3028, 2382, 3291, 1407, 2061, 2069, 1852, 2848, 1793, 1755]",1.0018831939454291,64.59
16,1.0,2,20,10,1,"[3, 9, 10, 15, 0, 4, 7, 8, 18, 16]","[2984, 1755, 2374, 2655, 2382, 1786, 2061, 4355, 1852, 3028]",0.9876300962107956,64.14
17,1.0,2,20,10,1,"[8, 12, 4, 15, 7, 1, 10, 13, 5, 14]","[4355, 3291, 1786, 2655, 2061, 1407, 2374, 2848, 1793, 2767]",0.9737270083397057,65.55
18,1.0,2,20,10,1,"[0, 14, 4, 16, 12, 7, 8, 5, 2, 15]","[2382, 2767, 1786, 3028, 3291, 2061, 4355, 1793, 2069, 2655]",0.9666058914676593,65.85
19,1.0,2,20,10,1,"[8, 19, 13, 0, 4, 10, 16, 15, 17, 2]","[4355, 2650, 2848, 2382, 1786, 2374, 3028, 2655, 2551, 2069]",0.9618977904319763,66.28
20,1.0,2,20,10,1,"[5, 19, 3, 14, 7, 8, 11, 0, 17, 13]","[1793, 2650, 2984, 2767, 2061, 4355, 3575, 2382, 2551, 2848]",0.9336896732354619,67.39
