round,alpha,seed,num_clients,clients_per_round,local_epochs,selected_clients,client_sizes,global_test_loss,global_test_acc
1,0.1,2,20,10,1,"[1, 2, 18, 11, 5, 16, 12, 10, 4, 14]","[9031, 161, 2665, 2607, 4443, 1578, 2621, 747, 4611, 1923]",2.1506055563118807,24.67
2,0.1,2,20,10,1,"[19, 6, 1, 5, 13, 10, 18, 12, 11, 8]","[305, 4729, 9031, 4443, 583, 747, 2665, 2621, 2607, 847]",2.1072201721227852,31.44
3,0.1,2,20,10,1,"[11, 17, 14, 16, 8, 18, 0, 13, 5, 7]","[2607, 5364, 1923, 1578, 847, 2665, 400, 583, 4443, 3122]",1.9297691955687895,30.82
4,0.1,2,20,10,1,"[10, 12, 13, 16, 5, 8, 2, 3, 18, 0]","[747, 2621, 583, 1578, 4443, 847, 161, 721, 2665, 400]",2.548030132700683,21.22
5,0.1,2,20,10,1,"[5, 10, 19, 4, 11, 8, 18, 14, 2, 7]","[4443, 747, 305, 4611, 2607, 847, 2665, 1923, 161, 3122]",2.2585733536702053,25.32
6,0.1,2,20,10,1,"[13, 16, 11, 17, 18, 19, 7, 2, 6, 14]","[583, 1578, 2607, 5364, 2665, 305, 3122, 161, 4729, 1923]",1.772595463285021,32.14
7,0.1,2,20,10,1,"[16, 7, 15, 8, 17, 19, 14, 12, 5, 10]","[1578, 3122, 2624, 847, 5364, 305, 1923, 2621, 4443, 747]",1.6114006027294572,40.58
8,0.1,2,20,10,1,"[14, 19, 11, 18, 15, 10, 3, 5, 17, 2]","[1923, 305, 2607, 2665, 2624, 747, 721, 4443, 5364, 161]",1.6935784497838111,34.75
9,0.1,2,20,10,1,"[19, 8, 15, 9, 16, 12, 11, 18, 14, 13]","[305, 847, 2624, 918, 1578, 2621, 2607, 2665, 1923, 583]",1.5800278232355787,44.67
10,0.1,2,20,10,1,"[16, 18, 13, 9, 6, 7, 8, 5, 10, 19]","[1578, 2665, 583, 918, 4729, 3122, 847, 4443, 747, 305]",1.9546392989006771,30.64
11,0.1,2,20,10,1,"[2, 10, 0, 6, 3, 17, 9, 18, 14, 4]","[161, 747, 400, 4729, 721, 5364, 918, 2665, 1923, 4611]",1.7561516845302216,32.17
12,0.1,2,20,10,1,"[18, 7, 3, 16, 4, 13, 15, 17, 12, 0]","[2665, 3122, 721, 1578, 4611, 583, 2624, 5364, 2621, 400]",1.453946426415899,44.78
13,0.1,2,20,10,1,"[13, 1, 18, 11, 16, 2, 3, 10, 0, 17]","[583, 9031, 2665, 2607, 1578, 161, 721, 747, 400, 5364]",2.0411273324565524,34.31
14,0.1,2,20,10,1,"[3, 2, 0, 1, 17, 5, 4, 18, 12, 11]","[721, 161, 400, 9031, 5364, 4443, 4611, 2665, 2621, 2607]",1.4511442867813595,45.81
15,0.1,2,20,10,1,"[16, 0, 12, 1, 7, 2, 18, 13, 5, 9]","[1578, 400, 2621, 9031, 3122, 161, 2665, 583, 4443, 918]",1.6635392775201494,41.21
16,0.1,2,20,10,1,"[3, 9, 10, 15, 0, 4, 7, 8, 18, 16]","[721, 918, 747, 2624, 400, 4611, 3122, 847, 2665, 1578]",1.6574377626370473,48.85
17,0.1,2,20,10,1,"[8, 12, 4, 15, 7, 1, 10, 13, 5, 14]","[847, 2621, 4611, 2624, 3122, 9031, 747, 583, 4443, 1923]",1.4050885826159434,50.39
18,0.1,2,20,10,1,"[0, 14, 4, 16, 12, 7, 8, 5, 2, 15]","[400, 1923, 4611, 1578, 2621, 3122, 847, 4443, 161, 2624]",1.4483587533045725,49.02
19,0.1,2,20,10,1,"[8, 19, 13, 0, 4, 10, 16, 15, 17, 2]","[847, 305, 583, 400, 4611, 747, 1578, 2624, 5364, 161]",1.7697003844437327,38.23
20,0.1,2,20,10,1,"[5, 19, 3, 14, 7, 8, 11, 0, 17, 13]","[4443, 305, 721, 1923, 3122, 847, 2607, 400, 5364, 583]",1.4841641574908213,45.2
