round,alpha,seed,num_clients,clients_per_round,local_epochs,selected_clients,client_sizes,global_test_loss,global_test_acc
1,0.1,0,20,10,1,"[12, 13, 1, 8, 15, 6, 19, 4, 7, 5]","[145, 1629, 1318, 5986, 7168, 952, 1084, 1541, 2928, 2328]",2.2411227317372706,28.29
2,0.1,0,20,10,1,"[18, 6, 16, 4, 9, 2, 12, 1, 15, 17]","[2615, 952, 1848, 1541, 3059, 771, 145, 1318, 7168, 3298]",1.944492123688862,31.67
3,0.1,0,20,10,1,"[17, 4, 9, 3, 2, 14, 13, 10, 5, 7]","[3298, 1541, 3059, 2359, 771, 572, 1629, 3392, 2328, 2928]",2.12635087663201,17.63
4,0.1,0,20,10,1,"[17, 3, 11, 13, 10, 9, 15, 18, 8, 7]","[3298, 2359, 5734, 1629, 3392, 3059, 7168, 2615, 5986, 2928]",1.6882550040627742,37.94
5,0.1,0,20,10,1,"[14, 16, 8, 1, 0, 18, 11, 6, 13, 10]","[572, 1848, 5986, 1318, 1273, 2615, 5734, 952, 1629, 3392]",1.8744600768301898,30.15
6,0.1,0,20,10,1,"[0, 15, 10, 7, 17, 11, 13, 1, 3, 9]","[1273, 7168, 3392, 2928, 3298, 5734, 1629, 1318, 2359, 3059]",1.6428056355494602,39.59
7,0.1,0,20,10,1,"[7, 19, 4, 14, 2, 1, 5, 8, 18, 16]","[2928, 1084, 1541, 572, 771, 1318, 2328, 5986, 2615, 1848]",1.861057046112741,34.4
8,0.1,0,20,10,1,"[9, 17, 19, 3, 10, 13, 8, 16, 18, 14]","[3059, 3298, 1084, 2359, 3392, 1629, 5986, 1848, 2615, 572]",1.5684354525462838,40.58
9,0.1,0,20,10,1,"[18, 9, 14, 2, 12, 5, 19, 3, 4, 16]","[2615, 3059, 572, 771, 145, 2328, 1084, 2359, 1541, 1848]",1.5517744213152842,42.64
10,0.1,0,20,10,1,"[6, 5, 1, 8, 15, 17, 14, 10, 2, 11]","[952, 2328, 1318, 5986, 7168, 3298, 572, 3392, 771, 5734]",1.4512037145104377,45.37
11,0.1,0,20,10,1,"[1, 2, 17, 12, 8, 15, 16, 3, 13, 10]","[1318, 771, 3298, 145, 5986, 7168, 1848, 2359, 1629, 3392]",1.3309198959617858,49.23
12,0.1,0,20,10,1,"[18, 13, 8, 14, 15, 10, 16, 11, 5, 1]","[2615, 1629, 5986, 572, 7168, 3392, 1848, 5734, 2328, 1318]",1.2774829750607728,52.82
13,0.1,0,20,10,1,"[10, 3, 15, 19, 6, 18, 0, 11, 4, 1]","[3392, 2359, 7168, 1084, 952, 2615, 1273, 5734, 1541, 1318]",1.5692689259340808,45.6
14,0.1,0,20,10,1,"[7, 11, 5, 10, 13, 15, 0, 1, 2, 3]","[2928, 5734, 2328, 3392, 1629, 7168, 1273, 1318, 771, 2359]",1.3796709479799696,50.95
15,0.1,0,20,10,1,"[1, 18, 17, 2, 0, 19, 10, 3, 9, 11]","[1318, 2615, 3298, 771, 1273, 1084, 3392, 2359, 3059, 5734]",1.4378167770470782,47.08
16,0.1,0,20,10,1,"[3, 12, 2, 11, 19, 0, 9, 14, 15, 17]","[2359, 145, 771, 5734, 1084, 1273, 3059, 572, 7168, 3298]",1.304253384186204,52.47
17,0.1,0,20,10,1,"[3, 15, 6, 1, 0, 8, 17, 9, 16, 4]","[2359, 7168, 952, 1318, 1273, 5986, 3298, 3059, 1848, 1541]",1.1784918350019273,57.03
18,0.1,0,20,10,1,"[2, 7, 19, 9, 11, 6, 17, 0, 8, 18]","[771, 2928, 1084, 3059, 5734, 952, 3298, 1273, 5986, 2615]",1.2999891152807102,52.07
19,0.1,0,20,10,1,"[1, 3, 12, 6, 8, 5, 11, 7, 9, 2]","[1318, 2359, 145, 952, 5986, 2328, 5734, 2928, 3059, 771]",1.4449058577513239,54.16
20,0.1,0,20,10,1,"[6, 1, 5, 17, 10, 8, 4, 18, 9, 7]","[952, 1318, 2328, 3298, 3392, 5986, 1541, 2615, 3059, 2928]",1.3238041636290823,50.85
