round,alpha,seed,num_clients,clients_per_round,local_epochs,selected_clients,client_sizes,global_test_loss,global_test_acc
1,0.5,0,20,10,1,"[12, 13, 1, 8, 15, 6, 19, 4, 7, 5]","[2525, 3808, 2157, 2543, 2282, 1481, 1218, 2004, 2118, 3186]",2.1596812154077423,19.33
2,0.5,0,20,10,1,"[18, 6, 16, 4, 9, 2, 12, 1, 15, 17]","[1840, 1481, 1407, 2004, 3745, 4159, 2525, 2157, 2282, 3642]",1.911083146265358,36.91
3,0.5,0,20,10,1,"[17, 4, 9, 3, 2, 14, 13, 10, 5, 7]","[3642, 2004, 3745, 1974, 4159, 1421, 3808, 3281, 3186, 2118]",1.6029221206713633,39.57
4,0.5,0,20,10,1,"[17, 3, 11, 13, 10, 9, 15, 18, 8, 7]","[3642, 1974, 2328, 3808, 3281, 3745, 2282, 1840, 2543, 2118]",1.501999798094391,44.7
5,0.5,0,20,10,1,"[14, 16, 8, 1, 0, 18, 11, 6, 13, 10]","[1421, 1407, 2543, 2157, 2881, 1840, 2328, 1481, 3808, 3281]",1.3732866580319252,51.3
6,0.5,0,20,10,1,"[0, 15, 10, 7, 17, 11, 13, 1, 3, 9]","[2881, 2282, 3281, 2118, 3642, 2328, 3808, 2157, 1974, 3745]",1.3997465303749035,47.59
7,0.5,0,20,10,1,"[7, 19, 4, 14, 2, 1, 5, 8, 18, 16]","[2118, 1218, 2004, 1421, 4159, 2157, 3186, 2543, 1840, 1407]",1.279190534239362,53.36
8,0.5,0,20,10,1,"[9, 17, 19, 3, 10, 13, 8, 16, 18, 14]","[3745, 3642, 1218, 1974, 3281, 3808, 2543, 1407, 1840, 1421]",1.2518731845412285,55.06
9,0.5,0,20,10,1,"[18, 9, 14, 2, 12, 5, 19, 3, 4, 16]","[1840, 3745, 1421, 4159, 2525, 3186, 1218, 1974, 2004, 1407]",1.3013187031837026,52.15
10,0.5,0,20,10,1,"[6, 5, 1, 8, 15, 17, 14, 10, 2, 11]","[1481, 3186, 2157, 2543, 2282, 3642, 1421, 3281, 4159, 2328]",1.2733791087083757,52.15
11,0.5,0,20,10,1,"[1, 2, 17, 12, 8, 15, 16, 3, 13, 10]","[2157, 4159, 3642, 2525, 2543, 2282, 1407, 1974, 3808, 3281]",1.1620126332447027,57.51
12,0.5,0,20,10,1,"[18, 13, 8, 14, 15, 10, 16, 11, 5, 1]","[1840, 3808, 2543, 1421, 2282, 3281, 1407, 2328, 3186, 2157]",1.1836583333410275,56.47
13,0.5,0,20,10,1,"[10, 3, 15, 19, 6, 18, 0, 11, 4, 1]","[3281, 1974, 2282, 1218, 1481, 1840, 2881, 2328, 2004, 2157]",1.127536093353466,59.89
14,0.5,0,20,10,1,"[7, 11, 5, 10, 13, 15, 0, 1, 2, 3]","[2118, 2328, 3186, 3281, 3808, 2282, 2881, 2157, 4159, 1974]",1.0922602130349275,61.03
15,0.5,0,20,10,1,"[1, 18, 17, 2, 0, 19, 10, 3, 9, 11]","[2157, 1840, 3642, 4159, 2881, 1218, 3281, 1974, 3745, 2328]",1.1786975283531627,56.2
16,0.5,0,20,10,1,"[3, 12, 2, 11, 19, 0, 9, 14, 15, 17]","[1974, 2525, 4159, 2328, 1218, 2881, 3745, 1421, 2282, 3642]",1.127918757071161,58.48
17,0.5,0,20,10,1,"[3, 15, 6, 1, 0, 8, 17, 9, 16, 4]","[1974, 2282, 1481, 2157, 2881, 2543, 3642, 3745, 1407, 2004]",1.150363774815942,58.54
18,0.5,0,20,10,1,"[2, 7, 19, 9, 11, 6, 17, 0, 8, 18]","[4159, 2118, 1218, 3745, 2328, 1481, 3642, 2881, 2543, 1840]",1.1058048852689706,60.1
19,0.5,0,20,10,1,"[1, 3, 12, 6, 8, 5, 11, 7, 9, 2]","[2157, 1974, 2525, 1481, 2543, 3186, 2328, 2118, 3745, 4159]",1.083208574990558,62.18
20,0.5,0,20,10,1,"[6, 1, 5, 17, 10, 8, 4, 18, 9, 7]","[1481, 2157, 3186, 3642, 3281, 2543, 2004, 1840, 3745, 2118]",1.0589591583628564,62.4
