round,alpha,seed,num_clients,clients_per_round,local_epochs,selected_clients,client_sizes,global_test_loss,global_test_acc
1,1.0,1,20,10,1,"[4, 18, 2, 8, 3, 7, 12, 14, 13, 10]","[2344, 1561, 2518, 3842, 3324, 2253, 3275, 1487, 2206, 3011]",2.101176419075887,26.31
2,1.0,1,20,10,1,"[12, 6, 3, 15, 0, 14, 13, 18, 19, 9]","[3275, 2833, 3324, 938, 2025, 1487, 2206, 1561, 2160, 2164]",1.7145273905650826,38.65
3,1.0,1,20,10,1,"[0, 14, 8, 7, 3, 18, 5, 19, 12, 11]","[2025, 1487, 3842, 2253, 3324, 1561, 2235, 2160, 3275, 2675]",1.5422771014985006,44.35
4,1.0,1,20,10,1,"[17, 0, 12, 6, 13, 11, 18, 8, 3, 7]","[4281, 2025, 3275, 2833, 2206, 2675, 1561, 3842, 3324, 2253]",1.4303136054117969,48.34
5,1.0,1,20,10,1,"[15, 17, 7, 11, 18, 10, 3, 12, 19, 4]","[938, 4281, 2253, 2675, 1561, 3011, 3324, 3275, 2160, 2344]",1.3227269034476796,52.77
6,1.0,1,20,10,1,"[0, 13, 17, 3, 5, 10, 11, 4, 1, 15]","[2025, 2206, 4281, 3324, 2235, 3011, 2675, 2344, 2871, 938]",1.297182512890761,52.68
7,1.0,1,20,10,1,"[16, 13, 19, 6, 9, 4, 15, 7, 8, 17]","[1997, 2206, 2160, 2833, 2164, 2344, 938, 2253, 3842, 4281]",1.253151575850833,54.54
8,1.0,1,20,10,1,"[18, 1, 15, 7, 12, 6, 10, 2, 5, 8]","[1561, 2871, 938, 2253, 3275, 2833, 3011, 2518, 2235, 3842]",1.1902260358925838,57.47
9,1.0,1,20,10,1,"[11, 2, 14, 16, 3, 12, 18, 8, 6, 5]","[2675, 2518, 1487, 1997, 3324, 3275, 1561, 3842, 2833, 2235]",1.1849632118917575,57.07
10,1.0,1,20,10,1,"[15, 0, 19, 1, 9, 11, 13, 17, 12, 14]","[938, 2025, 2160, 2871, 2164, 2675, 2206, 4281, 3275, 1487]",1.1277498211830286,60.16
11,1.0,1,20,10,1,"[12, 5, 18, 16, 7, 0, 19, 3, 8, 11]","[3275, 2235, 1561, 1997, 2253, 2025, 2160, 3324, 3842, 2675]",1.133190490257968,59.55
12,1.0,1,20,10,1,"[7, 12, 16, 11, 17, 19, 4, 10, 8, 9]","[2253, 3275, 1997, 2675, 4281, 2160, 2344, 3011, 3842, 2164]",1.0893295073205498,61.54
13,1.0,1,20,10,1,"[0, 12, 16, 4, 6, 15, 19, 7, 5, 9]","[2025, 3275, 1997, 2344, 2833, 938, 2160, 2253, 2235, 2164]",1.0673563043782666,62.32
14,1.0,1,20,10,1,"[17, 6, 16, 13, 15, 19, 5, 18, 14, 0]","[4281, 2833, 1997, 2206, 938, 2160, 2235, 1561, 1487, 2025]",1.0480023937620175,62.8
15,1.0,1,20,10,1,"[17, 19, 10, 14, 0, 12, 3, 18, 2, 8]","[4281, 2160, 3011, 1487, 2025, 3275, 3324, 1561, 2518, 3842]",1.0415078997612,62.88
16,1.0,1,20,10,1,"[18, 5, 2, 8, 1, 13, 10, 15, 12, 0]","[1561, 2235, 2518, 3842, 2871, 2206, 3011, 938, 3275, 2025]",1.0268339503342938,63.95
17,1.0,1,20,10,1,"[14, 0, 8, 7, 17, 1, 12, 9, 2, 5]","[1487, 2025, 3842, 2253, 4281, 2871, 3275, 2164, 2518, 2235]",1.0042867459309328,64.8
18,1.0,1,20,10,1,"[9, 2, 5, 17, 8, 15, 18, 10, 4, 12]","[2164, 2518, 2235, 4281, 3842, 938, 1561, 3011, 2344, 3275]",0.9802475674137189,65.8
19,1.0,1,20,10,1,"[9, 14, 10, 15, 16, 1, 0, 4, 6, 5]","[2164, 1487, 3011, 938, 1997, 2871, 2025, 2344, 2833, 2235]",1.0328800416296455,63.84
20,1.0,1,20,10,1,"[13, 6, 8, 3, 17, 14, 11, 15, 16, 9]","[2206, 2833, 3842, 3324, 4281, 1487, 2675, 938, 1997, 2164]",0.9905553277890393,64.61
