round,alpha,num_clients,clients_per_round,local_epochs,selected_clients,client_sizes,global_test_loss,global_test_acc
1,0.1,20,10,1,"[0, 6, 13, 16, 11, 19, 18, 8, 12, 4]","[1920, 6370, 1437, 4402, 1144, 846, 209, 4382, 3056, 2525]",2.4433532748252724,18.69
2,0.1,20,10,1,"[15, 5, 17, 0, 9, 1, 11, 10, 18, 14]","[630, 2348, 1988, 1920, 1758, 662, 1144, 40, 209, 4211]",2.1873803207069447,23.51
3,0.1,20,10,1,"[11, 3, 0, 18, 13, 10, 1, 6, 12, 4]","[1144, 2443, 1920, 209, 1437, 40, 662, 6370, 3056, 2525]",2.141316710763676,24.33
4,0.1,20,10,1,"[8, 6, 5, 3, 4, 11, 13, 18, 10, 14]","[4382, 6370, 2348, 2443, 2525, 1144, 1437, 209, 40, 4211]",2.3881528104186818,28.13
5,0.1,20,10,1,"[17, 14, 12, 18, 13, 2, 7, 15, 11, 0]","[1988, 4211, 3056, 209, 1437, 2705, 6924, 630, 1144, 1920]",2.2143260308891346,25.85
6,0.1,20,10,1,"[7, 18, 1, 2, 10, 16, 3, 17, 14, 13]","[6924, 209, 662, 2705, 40, 4402, 2443, 1988, 4211, 1437]",1.9069517888840597,37.43
7,0.1,20,10,1,"[0, 12, 16, 13, 10, 17, 2, 4, 6, 14]","[1920, 3056, 4402, 1437, 40, 1988, 2705, 2525, 6370, 4211]",1.9138767164983568,29.95
8,0.1,20,10,1,"[15, 10, 12, 9, 0, 8, 13, 7, 17, 11]","[630, 40, 3056, 1758, 1920, 4382, 1437, 6924, 1988, 1144]",2.112053959992281,33.91
9,0.1,20,10,1,"[11, 9, 3, 18, 2, 14, 17, 12, 19, 7]","[1144, 1758, 2443, 209, 2705, 4211, 1988, 3056, 846, 6924]",1.8623740149151748,34.94
10,0.1,20,10,1,"[1, 13, 4, 8, 11, 18, 19, 9, 2, 10]","[662, 1437, 2525, 4382, 1144, 209, 846, 1758, 2705, 40]",1.5485865439578985,42.51
11,0.1,20,10,1,"[15, 7, 9, 14, 17, 10, 5, 12, 13, 2]","[630, 6924, 1758, 4211, 1988, 40, 2348, 3056, 1437, 2705]",1.8993974848158042,37.89
12,0.1,20,10,1,"[7, 2, 11, 4, 19, 8, 17, 18, 5, 1]","[6924, 2705, 1144, 2525, 846, 4382, 1988, 209, 2348, 662]",1.616973722056978,41.2
13,0.1,20,10,1,"[11, 16, 15, 1, 12, 18, 4, 7, 2, 3]","[1144, 4402, 630, 662, 3056, 209, 2525, 6924, 2705, 2443]",1.6128388119351333,40.43
14,0.1,20,10,1,"[16, 9, 1, 4, 2, 3, 8, 12, 5, 0]","[4402, 1758, 662, 2525, 2705, 2443, 4382, 3056, 2348, 1920]",1.6403484693758048,39.51
15,0.1,20,10,1,"[10, 11, 9, 0, 13, 16, 18, 6, 8, 1]","[40, 1144, 1758, 1920, 1437, 4402, 209, 6370, 4382, 662]",1.7647497494509266,33.55
16,0.1,20,10,1,"[16, 17, 6, 3, 0, 10, 1, 18, 2, 12]","[4402, 1988, 6370, 2443, 1920, 40, 662, 209, 2705, 3056]",1.4729927497304929,44.19
17,0.1,20,10,1,"[11, 3, 1, 8, 9, 7, 14, 12, 4, 13]","[1144, 2443, 662, 4382, 1758, 6924, 4211, 3056, 2525, 1437]",1.37438529160372,48.98
18,0.1,20,10,1,"[16, 6, 7, 3, 14, 10, 0, 19, 5, 11]","[4402, 6370, 6924, 2443, 4211, 40, 1920, 846, 2348, 1144]",1.374359964565107,49.94
19,0.1,20,10,1,"[10, 2, 18, 9, 12, 6, 7, 19, 13, 14]","[40, 2705, 209, 1758, 3056, 6370, 6924, 846, 1437, 4211]",1.540901461224647,46.01
20,0.1,20,10,1,"[14, 5, 7, 6, 17, 12, 13, 4, 16, 18]","[4211, 2348, 6924, 6370, 1988, 3056, 1437, 2525, 4402, 209]",1.3911238885988855,48.52
