round,alpha,seed,num_clients,clients_per_round,local_epochs,selected_clients,client_sizes,global_test_loss,global_test_acc
1,0.5,2,20,10,1,"[1, 2, 18, 11, 5, 16, 12, 10, 4, 14]","[1619, 2173, 1396, 2053, 2618, 2802, 1589, 3197, 3087, 3173]",2.069011008663542,26.57
2,0.5,2,20,10,1,"[19, 6, 1, 5, 13, 10, 18, 12, 11, 8]","[2891, 1433, 1619, 2618, 3384, 3197, 1396, 1589, 2053, 2145]",1.8393443883604306,31.48
3,0.5,2,20,10,1,"[11, 17, 14, 16, 8, 18, 0, 13, 5, 7]","[2053, 1878, 3173, 2802, 2145, 1396, 2562, 3384, 2618, 2868]",1.6289535533091066,41.28
4,0.5,2,20,10,1,"[10, 12, 13, 16, 5, 8, 2, 3, 18, 0]","[3197, 1589, 3384, 2802, 2618, 2145, 2173, 2645, 1396, 2562]",1.5623881672597995,41.58
5,0.5,2,20,10,1,"[5, 10, 19, 4, 11, 8, 18, 14, 2, 7]","[2618, 3197, 2891, 3087, 2053, 2145, 1396, 3173, 2173, 2868]",1.5251810763292253,42.46
6,0.5,2,20,10,1,"[13, 16, 11, 17, 18, 19, 7, 2, 6, 14]","[3384, 2802, 2053, 1878, 1396, 2891, 2868, 2173, 1433, 3173]",1.455531401239383,44.85
7,0.5,2,20,10,1,"[16, 7, 15, 8, 17, 19, 14, 12, 5, 10]","[2802, 2868, 2311, 2145, 1878, 2891, 3173, 1589, 2618, 3197]",1.3185730671427052,52.75
8,0.5,2,20,10,1,"[14, 19, 11, 18, 15, 10, 3, 5, 17, 2]","[3173, 2891, 2053, 1396, 2311, 3197, 2645, 2618, 1878, 2173]",1.3899869569547616,48.62
9,0.5,2,20,10,1,"[19, 8, 15, 9, 16, 12, 11, 18, 14, 13]","[2891, 2145, 2311, 4176, 2802, 1589, 2053, 1396, 3173, 3384]",1.2937738212050907,50.82
10,0.5,2,20,10,1,"[16, 18, 13, 9, 6, 7, 8, 5, 10, 19]","[2802, 1396, 3384, 4176, 1433, 2868, 2145, 2618, 3197, 2891]",1.2152703108301588,55.87
11,0.5,2,20,10,1,"[2, 10, 0, 6, 3, 17, 9, 18, 14, 4]","[2173, 3197, 2562, 1433, 2645, 1878, 4176, 1396, 3173, 3087]",1.2354256199423674,54.5
12,0.5,2,20,10,1,"[18, 7, 3, 16, 4, 13, 15, 17, 12, 0]","[1396, 2868, 2645, 2802, 3087, 3384, 2311, 1878, 1589, 2562]",1.2603988825895225,53.79
13,0.5,2,20,10,1,"[13, 1, 18, 11, 16, 2, 3, 10, 0, 17]","[3384, 1619, 1396, 2053, 2802, 2173, 2645, 3197, 2562, 1878]",1.2047665031852237,56.38
14,0.5,2,20,10,1,"[3, 2, 0, 1, 17, 5, 4, 18, 12, 11]","[2645, 2173, 2562, 1619, 1878, 2618, 3087, 1396, 1589, 2053]",1.1917212829468355,56.63
15,0.5,2,20,10,1,"[16, 0, 12, 1, 7, 2, 18, 13, 5, 9]","[2802, 2562, 1589, 1619, 2868, 2173, 1396, 3384, 2618, 4176]",1.214440285779868,54.71
16,0.5,2,20,10,1,"[3, 9, 10, 15, 0, 4, 7, 8, 18, 16]","[2645, 4176, 3197, 2311, 2562, 3087, 2868, 2145, 1396, 2802]",1.0720109685211425,61.87
17,0.5,2,20,10,1,"[8, 12, 4, 15, 7, 1, 10, 13, 5, 14]","[2145, 1589, 3087, 2311, 2868, 1619, 3197, 3384, 2618, 3173]",1.08419654551585,61.1
18,0.5,2,20,10,1,"[0, 14, 4, 16, 12, 7, 8, 5, 2, 15]","[2562, 3173, 3087, 2802, 1589, 2868, 2145, 2618, 2173, 2311]",1.0860827447502477,61.23
19,0.5,2,20,10,1,"[8, 19, 13, 0, 4, 10, 16, 15, 17, 2]","[2145, 2891, 3384, 2562, 3087, 3197, 2802, 2311, 1878, 2173]",1.0423419536299008,63.37
20,0.5,2,20,10,1,"[5, 19, 3, 14, 7, 8, 11, 0, 17, 13]","[2618, 2891, 2645, 3173, 2868, 2145, 2053, 2562, 1878, 3384]",1.0524318654825733,62.55
