round,alpha,num_clients,clients_per_round,local_epochs,selected_clients,client_sizes,global_test_loss,global_test_acc
1,0.5,20,10,1,"[7, 17, 6, 4, 2, 13, 18, 1, 5, 12]","[2820, 2468, 2558, 3576, 3306, 2117, 2281, 1161, 1318, 1401]",2.123732411937349,27.01
2,0.5,20,10,1,"[15, 18, 0, 19, 12, 5, 11, 7, 14, 1]","[4681, 2281, 2620, 1855, 1401, 1318, 1690, 2820, 1915, 1161]",1.7715902882776442,39.12
3,0.5,20,10,1,"[10, 0, 1, 2, 18, 4, 12, 16, 13, 7]","[2069, 2620, 1161, 3306, 2281, 3576, 1401, 2493, 2117, 2820]",1.6305688862587995,36.78
4,0.5,20,10,1,"[12, 16, 18, 9, 13, 10, 0, 5, 7, 8]","[1401, 2493, 2281, 1885, 2117, 2069, 2620, 1318, 2820, 3832]",1.5003705389180761,44.57
5,0.5,20,10,1,"[6, 19, 15, 8, 14, 9, 13, 18, 17, 7]","[2558, 1855, 4681, 3832, 1915, 1885, 2117, 2281, 2468, 2820]",1.5343597451592708,45.13
6,0.5,20,10,1,"[4, 15, 10, 11, 18, 14, 9, 0, 16, 7]","[3576, 4681, 2069, 1690, 2281, 1915, 1885, 2620, 2493, 2820]",1.4466186868157356,45.95
7,0.5,20,10,1,"[5, 18, 13, 6, 3, 8, 17, 9, 11, 0]","[1318, 2281, 2117, 2558, 3954, 3832, 2468, 1885, 1690, 2620]",1.3552476471396768,51.06
8,0.5,20,10,1,"[7, 16, 17, 9, 8, 15, 10, 0, 11, 12]","[2820, 2493, 2468, 1885, 3832, 4681, 2069, 2620, 1690, 1401]",1.2842192277786837,53.21
9,0.5,20,10,1,"[5, 8, 11, 1, 13, 6, 14, 4, 9, 19]","[1318, 3832, 1690, 1161, 2117, 2558, 1915, 3576, 1885, 1855]",1.3286868781800483,50.84
10,0.5,20,10,1,"[12, 16, 8, 10, 2, 18, 6, 7, 15, 9]","[1401, 2493, 3832, 2069, 3306, 2281, 2558, 2820, 4681, 1885]",1.2331985500967426,55.74
11,0.5,20,10,1,"[8, 5, 1, 0, 4, 7, 15, 12, 19, 14]","[3832, 1318, 1161, 2620, 3576, 2820, 4681, 1401, 1855, 1915]",1.2526639210190742,55.0
12,0.5,20,10,1,"[7, 15, 0, 2, 1, 10, 13, 4, 14, 6]","[2820, 4681, 2620, 3306, 1161, 2069, 2117, 3576, 1915, 2558]",1.1746666120116118,57.5
13,0.5,20,10,1,"[9, 5, 3, 8, 4, 6, 15, 7, 19, 11]","[1885, 1318, 3954, 3832, 3576, 2558, 4681, 2820, 1855, 1690]",1.2184818565465843,56.17
14,0.5,20,10,1,"[4, 19, 17, 3, 0, 12, 5, 7, 9, 13]","[3576, 1855, 2468, 3954, 2620, 1401, 1318, 2820, 1885, 2117]",1.1164279192875906,58.96
15,0.5,20,10,1,"[13, 15, 1, 4, 2, 5, 0, 19, 18, 12]","[2117, 4681, 1161, 3576, 3306, 1318, 2620, 1855, 2281, 1401]",1.078315981254456,61.98
16,0.5,20,10,1,"[14, 12, 3, 9, 5, 15, 7, 8, 4, 2]","[1915, 1401, 3954, 1885, 1318, 4681, 2820, 3832, 3576, 3306]",1.0834740612916887,61.08
17,0.5,20,10,1,"[4, 13, 2, 17, 14, 16, 10, 6, 8, 7]","[3576, 2117, 3306, 2468, 1915, 2493, 2069, 2558, 3832, 2820]",1.0351812938216385,63.22
18,0.5,20,10,1,"[14, 4, 16, 10, 12, 3, 18, 6, 5, 13]","[1915, 3576, 2493, 2069, 1401, 3954, 2281, 2558, 1318, 2117]",1.0218951770454456,63.09
19,0.5,20,10,1,"[17, 2, 7, 13, 9, 12, 18, 1, 3, 14]","[2468, 3306, 2820, 2117, 1885, 1401, 2281, 1161, 3954, 1915]",1.0541017347839987,61.63
20,0.5,20,10,1,"[14, 5, 17, 18, 2, 15, 19, 6, 10, 4]","[1915, 1318, 2468, 2281, 3306, 4681, 1855, 2558, 2069, 3576]",1.0852639826999348,61.28
